               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05036,            0.069297,            0.086765,            0.024203,             0.93616,            0.050664,            0.027787,            0.025353,            0.022746,             0.07018,            0.070072,           0.0033253,           0.0033253
                   1,            0.034749,            0.053735,            0.079913,             0.37445,             0.14638,             0.15899,             0.11201,            0.018297,            0.019686,            0.061865,            0.039963,           0.0065487,           0.0065487
                   2,            0.032985,            0.050697,            0.058095,             0.73744,             0.70705,              0.7451,             0.47059,            0.023496,            0.021576,            0.021642,           0.0097427,           0.0096622,           0.0096622
                   3,            0.031004,            0.049448,            0.033048,             0.95592,             0.84483,             0.90414,             0.66308,            0.018906,            0.019486,           0.0081975,            0.009505,            0.009505,            0.009505
                   4,            0.028349,            0.047366,            0.026051,             0.96775,             0.86507,             0.92969,             0.70704,            0.016396,            0.019049,           0.0066133,            0.009505,            0.009505,            0.009505
                   5,            0.026443,            0.045889,            0.023199,             0.95922,             0.89516,             0.94518,             0.73604,            0.015679,            0.018761,           0.0054632,             0.00934,             0.00934,             0.00934
                   6,             0.02546,             0.04471,            0.021354,             0.97484,             0.91982,             0.95123,              0.7435,            0.015347,            0.018484,           0.0050328,            0.009175,            0.009175,            0.009175
                   7,            0.024422,            0.043706,            0.020426,             0.95913,             0.93117,             0.95323,             0.75445,            0.015187,            0.017973,           0.0038317,             0.00901,             0.00901,             0.00901
                   8,            0.024043,            0.043592,            0.019396,             0.97007,             0.94067,              0.9562,             0.75924,            0.014225,            0.018089,           0.0034526,            0.008845,            0.008845,            0.008845
                   9,            0.023529,            0.042749,            0.018853,             0.96812,             0.94141,             0.95625,             0.76684,            0.013865,            0.017846,            0.003641,             0.00868,             0.00868,             0.00868
                  10,            0.023244,            0.042321,            0.018332,             0.97343,             0.94406,             0.95714,             0.75903,            0.013948,            0.017703,           0.0033093,            0.008515,            0.008515,            0.008515
                  11,            0.022813,            0.042099,            0.017756,             0.97228,             0.94865,             0.95845,             0.77658,            0.013648,            0.017417,            0.003736,             0.00835,             0.00835,             0.00835
                  12,            0.022542,            0.041747,             0.01743,             0.97965,             0.94848,             0.95889,             0.78193,            0.013838,              0.0172,           0.0036366,            0.008185,            0.008185,            0.008185
                  13,            0.022308,            0.041411,            0.016944,             0.98082,             0.95056,              0.9589,             0.78213,             0.01392,            0.017126,           0.0039653,             0.00802,             0.00802,             0.00802
                  14,             0.02198,            0.041204,            0.016592,             0.98095,             0.95016,             0.95958,             0.78412,             0.01364,            0.017099,           0.0038402,            0.007855,            0.007855,            0.007855
                  15,            0.021846,            0.040793,            0.016516,             0.98103,             0.95012,             0.95935,             0.78748,            0.013015,            0.016981,           0.0022324,             0.00769,             0.00769,             0.00769
